96;1613;;;;
ID TEMPAT;ID MAKANAN;ID;MAKANN;TEMPAT;Location
01;42;01-42;Ayam;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
01;45;01-45;Ayam dideh/darah segar;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
01;64;01-64;Ayam hati segar;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
01;371;01-371;Dideh darah ayam;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
01;1164;01-1164;Pisang ayam segar;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
01;1307;01-1307;Sayap ayam;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
01;1471;01-1471;Telur ayam kampung;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
01;1472;01-1472;Telur ayam rebus;Tukang Ayam;Mangga Besar Raya No. 2B, Jakarta,-6.1491503,106.8348115
02;122;02-122;Belibis daging segar;Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
02;234;02-234;Cakalang asar (asap papua);Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
02;261;02-261;Cue Selar Kuning;Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
02;264;02-264;Cumi-cumi segar;Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
02;426;02-426;Gatep segar;Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
02;492;02-492;Ikan balong segar;Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
02;493;02-493;Ikan bambangan segar;Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
02;498;02-498;Ikan banjar segar;Tukang Ikan;Pancoran No. 23, Jakarta,-6.2580853,106.8427326315666
